Name,Latitude,Longitude
Montgomery Field,32.8149052,-117.14032054876807
MCAS Miramar Airfield,32.86959885,-117.13980246917987
MCAS Miramar Airfield,32.87117415,-117.1387554430446
San Diego International Airport,32.73336075,-117.19224641277626
Gillespie Field,32.8240086,-116.9725797829216
North Island Naval Air Station,32.6991997,-117.214996
Naval Outlying Landing Field Imperial Beach,32.5640853,-117.1141481936995
Brown Field Municipal Airport,32.57272615,-116.97955714783406
Ramona Airport,33.039474,-116.91886154294863
Aeropuerto Internacional General Abelardo L. Rodríguez,32.54236105,-116.97017165699292
