Address,City,Zip,Attraction,Category,TripAdvisor Rating (x/5),Distance to Home (miles),Attraction Address,Resource
811 Maltman Ave,Los Angeles,90026,Los Angeles County Museum of Art,Museum,4.5,5.9,"5905 Wilshire Blvd, Los Angeles, CA 90036",https://www.tripadvisor.com/Attraction_Review-g32655-d106166-Reviews-Los_Angeles_County_Museum_of_Art-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,The Grove,Shopping,4.5,5.2,"189 The Grove Dr, Los Angeles, CA 90036",https://www.tripadvisor.com/Attraction_Review-g32655-d547175-Reviews-The_Grove-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,Griffith Observatory,Museum,4.5,4.3,"2800 E Observatory Rd, Los Angeles, CA 90027",https://www.tripadvisor.com/Attraction_Review-g32655-d116887-Reviews-Griffith_Observatory-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,Universal Studios Hollywood,Theme Park,4.5,6.4,"100 Universal City Plaza, Universal City, CA 91608",https://www.tripadvisor.com/Attraction_Review-g32655-d104417-Reviews-Universal_Studios_Hollywood-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,Crpto.com Arena (Former Staples Center),Live Entertainment,4.5,4,"1111 S Figueroa St, Los Angeles, CA 90015",https://www.tripadvisor.com/Attraction_Review-g32655-d616425-Reviews-Staples_Center-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,The Getty Center,Museum,5,19.3,"1200 Getty Center Dr, Los Angeles, CA 90049",https://www.tripadvisor.com/Attraction_Review-g32655-d147966-Reviews-The_Getty_Center-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,Petersen Automotive Museum,Museum,4.5,6.1,"6060 Wilshire Blvd, Los Angeles, CA 90036",https://www.tripadvisor.com/Attraction_Review-g32655-d116989-Reviews-Petersen_Automotive_Museum-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,Walt Disney Concert Hall,Live Entertainment,4.5,3.7,"111 S Grand Ave, Los Angeles, CA 90012",https://www.tripadvisor.com/Attraction_Review-g32655-d258384-Reviews-Walt_Disney_Concert_Hall-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,Griffith Park,Park,4.5,3.2,"4730 Crystal Springs Dr, Los Angeles, CA 90027",https://www.tripadvisor.com/Attraction_Review-g32655-d129312-Reviews-Griffith_Park-Los_Angeles_California.html
811 Maltman Ave,Los Angeles,90026,La Brea Tar Pits and Musem,Museum,4.5,5.7,"5801 Wilshire Blvd, Los Angeles, CA 90036-4539",https://www.tripadvisor.com/Attraction_Review-g32655-d143830-Reviews-La_Brea_Tar_Pits_and_Museum-Los_Angeles_California.html
1340 Wildwood Ave,South Lake Tahoe,96150,The Gondola at Heavenly Mountain Resort,Skii Ride,4.5,1.8,"4080 Lake Tahoe Blvd, South Lake Tahoe, CA 96150",https://www.tripadvisor.com/Attraction_Review-g1798615-d283397-Reviews-The_Gondola_at_Heavenly-South_Lake_Tahoe_Lake_Tahoe_California_California.html
1340 Wildwood Ave,South Lake Tahoe,96150,Tallac Historic Site,Historic Site,4.5,8.6,"1 Heritage Way South Lake Tahoe, CA 96150",https://www.tripadvisor.com/Attraction_Review-g1798615-d156888-Reviews-Tallac_Historic_Site-South_Lake_Tahoe_Lake_Tahoe_California_California.html
1340 Wildwood Ave,South Lake Tahoe,96150,Van Sickle Bi-State Park,Park,4.5,1.6,"30 Lake Pkwy, South Lake Tahoe, CA 96150",https://www.tripadvisor.com/Attraction_Review-g1798615-d127638-Reviews-Vikingsholm-South_Lake_Tahoe_Lake_Tahoe_California_California.html
1340 Wildwood Ave,South Lake Tahoe,96150,Mt. Tallac Trail,Hiking Trail,4.5,11.2,"Mount Tallac Trail, California 96150",https://www.tripadvisor.com/Attraction_Review-g1798615-d3332076-Reviews-Mt_Tallac_Trail-South_Lake_Tahoe_Lake_Tahoe_California_California.html
1340 Wildwood Ave,South Lake Tahoe,96150,Taylor Creek Visitor Center,Visitor Center,4.5,8.5,"Taylor Creek Boardwalk, CA-89, South Lake Tahoe, CA 96150",https://www.tripadvisor.com/Attraction_Review-g1798615-d524666-Reviews-Taylor_Creek_Visitor_Center-South_Lake_Tahoe_Lake_Tahoe_California_California.html
1340 Wildwood Ave,South Lake Tahoe,96150,Rubicon Trail,Hiking Trail,5,3.7,"Rubicon Trail, South Lake Tahoe, CA 96150",https://www.tripadvisor.com/Attraction_Review-g1798615-d11983150-Reviews-Rubicon_Trail-South_Lake_Tahoe_Lake_Tahoe_California_California.html
1340 Wildwood Ave,South Lake Tahoe,96150,Eagle Falls,Waterfall,4.5,13.6,"138 Emerald Bay Rd, South Lake Tahoe, CA 96150",https://www.tripadvisor.com/Attraction_Review-g1798615-d6413112-Reviews-Lower_Eagle_Falls-South_Lake_Tahoe_Lake_Tahoe_California_California.html
