"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"09","61903","0000000",,2016,1,"B",2101,"2006",1999,3,"1",332,"328","2420.3","23","24","46","24","29","328","23","46","31","20","49","32","22","62","16","19","55","26"
"09","61903","0000000",,2016,1,"B",2101,"2004",1994,3,"2",332,"330","2431.0","17","31","48","28","24","330","31","39","31","26","48","26","25","55","21","0","0","0"
"09","61903","0000000",,2016,1,"B",2101,"2004",1994,4,"2",316,"308","2466.7","17","23","40","33","27","308","24","34","42","20","49","31","23","43","34","0","0","0"
"09","61903","0000000",,2016,1,"B",2101,"2006",1999,4,"1",316,"307","2458.0","24","21","45","19","36","307","22","43","35","27","41","32","16","68","17","21","53","26"
"09","61903","0000000",,2016,1,"B",2101,"2006",1999,5,"1",309,"300","2503.5","23","27","50","23","28","300","23","46","31","24","44","31","18","64","18","30","56","14"
"09","61903","0000000",,2016,1,"B",2101,"2004",1994,5,"2",309,"303","2476.4","11","15","26","34","39","302","17","32","51","13","39","49","12","46","42","0","0","0"
"09","61903","0000000",,2016,1,"B",2101,"2004",1994,6,"2",300,"291","2506.5","11","22","33","31","35","291","18","37","44","12","50","38","14","53","33","0","0","0"
"09","61903","0000000",,2016,1,"B",2101,"2006",1999,6,"1",300,"292","2522.9","15","33","48","27","25","292","18","51","30","25","41","33","16","71","13","27","59","14"
"09","61903","0000000",,2016,1,"B",2101,"2006",1999,7,"1",276,"260","2526.1","9","30","39","29","32","260","17","47","35","20","43","36","13","65","22","18","59","23"
"09","61903","0000000",,2016,1,"B",2101,"2004",1994,7,"2",276,"257","2517.2","11","20","31","33","36","256","20","36","44","16","38","46","14","53","33","0","0","0"
"09","61903","0000000",,2016,1,"B",2101,"2004",1994,8,"2",263,"245","2511.9","11","18","29","27","45","242","16","32","52","13","52","35","12","47","41","0","0","0"
"09","61903","0000000",,2016,1,"B",2101,"2006",1999,8,"1",263,"245","2545.6","13","31","44","23","33","245","27","40","33","21","42","37","20","60","20","19","48","33"
"09","61903","0000000",,2016,1,"B",2101,"2006",1999,11,"1",305,"274","2562.0","19","26","45","25","30","267","26","48","25","21","42","36","16","56","28","25","52","23"
"09","61903","0000000",,2016,1,"B",2101,"2004",1994,11,"2",305,"270","2535.6","10","12","22","25","53","265","15","26","59","11","43","46","12","50","38","0","0","0"
"09","61903","0000000",,2016,1,"B",2101,"2004",1994,13,"2",2101,"2004","","13","21","33","30","36","1994","20","34","46","16","46","38","16","50","34","0","0","0"
"09","61903","0000000",,2016,1,"B",2101,"2006",1999,13,"1",2101,"2006","","18","27","45","24","30","1999","22","46","32","23","44","34","17","64","19","23","55","23"
"09","61903","0000000",,2016,3,"B",1114,"1067",1059,3,"2",185,"184","2435.5","18","34","52","26","23","184","33","37","30","27","47","26","23","55","22","0","0","0"
"09","61903","0000000",,2016,3,"B",1114,"1066",1062,3,"1",185,"184","2415.7","22","23","45","25","30","184","23","45","32","14","51","35","22","61","17","16","55","29"
"09","61903","0000000",,2016,3,"B",1114,"1066",1062,4,"1",161,"155","2436.3","17","19","35","21","44","155","16","43","41","19","39","43","14","66","20","15","54","31"
"09","61903","0000000",,2016,3,"B",1114,"1067",1059,4,"2",161,"156","2458.4","15","20","35","33","31","156","24","27","49","17","50","33","21","40","38","0","0","0"
"09","61903","0000000",,2016,3,"B",1114,"1067",1059,5,"2",155,"152","2477.5","13","13","26","32","42","151","20","28","52","15","35","50","11","44","46","0","0","0"
"09","61903","0000000",,2016,3,"B",1114,"1066",1062,5,"1",155,"151","2490.2","20","23","43","22","35","151","21","42","38","20","44","36","17","64","19","26","56","17"
"09","61903","0000000",,2016,3,"B",1114,"1066",1062,6,"1",152,"148","2502.5","11","28","39","30","31","148","14","48","38","17","42","41","16","68","17","22","61","18"
"09","61903","0000000",,2016,3,"B",1114,"1067",1059,6,"2",152,"148","2497.5","11","20","31","30","39","148","17","39","45","12","43","45","14","49","37","0","0","0"
"09","61903","0000000",,2016,3,"B",1114,"1067",1059,7,"2",159,"148","2505.8","7","20","27","31","41","147","16","33","50","13","35","52","7","54","38","0","0","0"
"09","61903","0000000",,2016,3,"B",1114,"1066",1062,7,"1",159,"149","2509.0","5","26","32","32","37","149","11","46","43","11","47","42","13","64","23","13","58","28"
"09","61903","0000000",,2016,3,"B",1114,"1066",1062,8,"1",136,"127","2522.8","8","27","35","23","43","127","24","35","41","14","35","51","17","61","22","16","45","39"
"09","61903","0000000",,2016,3,"B",1114,"1067",1059,8,"2",136,"128","2504.8","12","17","29","22","49","126","17","26","56","14","49","37","10","43","48","0","0","0"
"09","61903","0000000",,2016,3,"B",1114,"1067",1059,11,"2",166,"151","2541.9","12","12","24","24","52","147","19","24","56","14","43","43","14","49","37","0","0","0"
"09","61903","0000000",,2016,3,"B",1114,"1066",1062,11,"1",166,"152","2548.3","17","24","41","23","36","148","27","44","29","19","36","45","16","51","34","23","53","24"
"09","61903","0000000",,2016,3,"B",1114,"1066",1062,13,"1",1114,"1066","","15","24","39","25","36","1062","19","44","37","16","42","41","16","62","22","19","55","26"
"09","61903","0000000",,2016,3,"B",1114,"1067",1059,13,"2",1114,"1067","","13","20","33","28","39","1059","21","31","48","16","43","40","15","48","37","0","0","0"
"09","61903","0000000",,2016,4,"B",987,"937",935,3,"2",147,"146","2425.3","15","27","42","32","25","146","27","41","32","25","48","27","26","55","19","0","0","0"
"09","61903","0000000",,2016,4,"B",987,"940",937,3,"1",147,"144","2426.2","24","25","49","24","28","144","24","47","30","26","46","28","23","63","15","22","56","22"
"09","61903","0000000",,2016,4,"B",987,"940",937,4,"1",155,"152","2480.2","32","22","55","17","28","152","29","43","28","36","43","21","17","70","13","26","53","21"
"09","61903","0000000",,2016,4,"B",987,"937",935,4,"2",155,"152","2475.2","19","26","45","32","22","152","24","41","35","24","48","28","25","46","29","0","0","0"
