"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"09","61903","0000000",,2018,1,"B","2017","2012",3,"1","313","307","2421.1","24.76","20.52","45.28","25.73","28.99","307","23.78","42.02","34.20","20.59","45.75","33.66","25.41","57.98","16.61","24.76","47.88","27.36"
"09","61903","0000000",,2018,1,"B","2035","2032",3,"2","313","308","2422.7","17.53","28.25","45.78","22.73","31.49","308","29.87","31.17","38.96","24.68","42.53","32.79","26.62","46.10","27.27","0.00","0.00","0.00"
"09","61903","0000000",,2018,1,"B","2035","2032",4,"2","300","296","2456.2","15.20","24.66","39.86","30.74","29.39","296","23.65","30.07","46.28","19.93","47.97","32.09","19.93","41.89","38.18","0.00","0.00","0.00"
"09","61903","0000000",,2018,1,"B","2017","2012",4,"1","300","296","2452.1","21.28","20.27","41.55","22.30","36.15","296","19.93","45.95","34.12","17.91","45.61","36.49","16.55","68.92","14.53","20.61","52.70","26.69"
"09","61903","0000000",,2018,1,"B","2017","2012",5,"1","319","314","2490.1","13.38","33.12","46.50","22.93","30.57","314","21.66","50.96","27.39","18.47","50.64","30.89","14.33","65.29","20.38","22.61","51.59","25.80"
"09","61903","0000000",,2018,1,"B","2035","2032",5,"2","319","316","2477.4","9.81","17.41","27.22","35.13","37.66","316","12.34","36.71","50.95","12.97","48.10","38.92","9.18","50.95","39.87","0.00","0.00","0.00"
"09","61903","0000000",,2018,1,"B","2035","2032",6,"2","294","288","2513.4","14.29","23.00","37.28","32.06","30.66","287","24.56","33.10","42.35","15.33","49.48","35.19","14.39","48.07","37.54","0.00","0.00","0.00"
"09","61903","0000000",,2018,1,"B","2017","2012",6,"1","294","283","2497.6","11.79","27.86","39.64","24.64","35.71","280","18.55","42.18","39.27","14.39","46.86","38.75","11.07","66.79","22.14","23.44","48.35","28.21"
"09","61903","0000000",,2018,1,"B","2017","2012",7,"1","303","291","2508.4","11.00","28.18","39.18","18.56","42.27","291","18.18","36.71","45.10","18.37","48.41","33.22","8.83","58.66","32.51","22.61","41.70","35.69"
"09","61903","0000000",,2018,1,"B","2035","2032",7,"2","303","296","2504.4","13.90","20.34","34.24","25.76","40.00","295","21.84","31.40","46.76","16.95","42.37","40.68","12.24","50.68","37.07","0.00","0.00","0.00"
