County Code,District Code,School Code,Filler,Test Year,Student Group ID,Test Type,Total Tested at Reporting Level,Total Tested with Scores at Reporting Level,Grade,Test ID,Students Enrolled,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores,Area 1 Percentage Above Standard,Area 1 Percentage Near Standard,Area 1 Percentage Below Standard,Area 2 Percentage Above Standard,Area 2 Percentage Near Standard,Area 2 Percentage Below Standard,Area 3 Percentage Above Standard,Area 3 Percentage Near Standard,Area 3 Percentage Below Standard,Area 4 Percentage Above Standard,Area 4 Percentage Near Standard,Area 4 Percentage Below Standard,Type ID
09,00000,0000000,,2021,1,B,6580,6562,3,1,2124,813,2440.5,30.26,26.69,56.95,22.39,20.66,813,23.25,60.02,16.73,18.10,60.10,21.80,13.04,77.12,9.84,22.39,65.19,12.42,5
09,00000,0000000,,2021,3,B,3291,3282,3,1,1079,409,2440.1,31.30,26.16,57.46,21.76,20.78,409,26.16,58.19,15.65,16.67,57.11,26.23,15.65,75.55,8.80,20.05,68.22,11.74,5
09,00000,0000000,,2021,4,B,3288,3279,3,1,1045,404,2440.9,29.21,27.23,56.44,23.02,20.54,404,20.30,61.88,17.82,19.55,63.12,17.33,10.40,78.71,10.89,24.75,62.13,13.12,5
09,00000,0000000,,2021,6,B,6302,6285,3,1,1917,761,2443.9,31.54,27.33,58.87,22.08,19.05,761,24.18,60.32,15.51,18.82,60.92,20.26,13.53,77.53,8.94,23.52,64.39,12.09,5
09,00000,0000000,,2021,7,B,96,96,3,1,42,11,2478.8,54.55,0.00,54.55,36.36,9.09,11,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,8,B,284,284,3,1,57,16,2443.6,31.25,18.75,50.00,31.25,18.75,16,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,29,B,6580,6562,3,1,2124,813,2440.5,30.26,26.69,56.95,22.39,20.66,813,23.25,60.02,16.73,18.10,60.10,21.80,13.04,77.12,9.84,22.39,65.19,12.42,5
09,00000,0000000,,2021,31,B,1883,1874,3,1,655,242,2399.7,15.70,21.49,37.19,26.86,35.95,242,11.98,60.33,27.69,9.54,55.60,34.85,9.50,76.45,14.05,11.57,66.53,21.90,5
09,00000,0000000,,2021,50,B,79,79,3,1,14,12,2443.5,25.00,41.67,66.67,16.67,16.67,12,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,51,B,6501,6483,3,1,2110,801,2440.5,30.34,26.47,56.80,22.47,20.72,801,23.10,60.05,16.85,18.25,59.75,22.00,12.86,77.40,9.74,22.35,65.17,12.48,5
09,00000,0000000,,2021,52,B,121,121,3,1,37,16,2369.6,6.25,12.50,18.75,31.25,50.00,16,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,53,B,6459,6441,3,1,2087,797,2441.9,30.74,26.98,57.72,22.21,20.08,797,23.59,60.23,16.19,18.34,60.55,21.11,13.30,76.91,9.79,22.58,65.24,12.17,5
09,00000,0000000,,2021,74,B,60,60,3,1,18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,75,B,53,53,3,1,15,8,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,76,B,253,253,3,1,99,29,2497.2,55.17,24.14,79.31,17.24,3.45,29,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,77,B,60,60,3,1,18,7,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,78,B,1149,1147,3,1,425,142,2418.8,21.13,23.94,45.07,23.24,31.69,142,17.61,54.93,27.46,11.97,56.34,31.69,7.75,83.80,8.45,15.49,68.31,16.20,5
09,00000,0000000,,2021,79,B,19,19,3,1,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,80,B,4629,4615,3,1,1413,577,2446.7,32.41,28.25,60.66,22.18,17.16,577,24.44,61.70,13.86,18.75,62.67,18.58,14.73,75.56,9.71,24.44,64.82,10.75,5
09,00000,0000000,,2021,90,B,239,237,3,1,62,29,2347.2,3.45,6.90,10.34,34.48,55.17,29,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,91,B,735,733,3,1,249,101,2398.3,13.86,21.78,35.64,25.74,38.61,101,11.88,54.46,33.66,5.94,59.41,34.65,5.94,78.22,15.84,11.88,67.33,20.79,5
09,00000,0000000,,2021,92,B,1719,1717,3,1,564,210,2419.0,21.90,29.05,50.95,20.48,28.57,210,16.67,64.29,19.05,13.81,55.71,30.48,10.48,77.14,12.38,15.24,66.67,18.10,5
09,00000,0000000,,2021,93,B,2201,2194,3,1,679,281,2461.4,36.30,30.25,66.55,23.49,9.96,281,28.11,61.57,10.32,19.29,68.57,12.14,14.59,78.29,7.12,25.98,66.55,7.47,5
09,00000,0000000,,2021,94,B,1555,1550,3,1,502,180,2473.8,44.44,25.00,69.44,18.89,11.67,180,33.33,56.67,10.00,31.67,55.56,12.78,20.00,73.33,6.67,35.56,57.78,6.67,5
09,00000,0000000,,2021,99,B,5727,5714,3,1,1836,715,2448.8,32.87,28.11,60.98,21.54,17.48,715,24.90,60.84,14.27,19.89,61.20,18.91,14.55,76.64,8.81,24.48,64.48,11.05,5
09,00000,0000000,,2021,111,B,4697,4688,3,1,1469,571,2457.8,36.43,28.90,65.32,20.49,14.19,571,28.02,59.89,12.08,21.72,62.00,16.29,14.54,77.41,8.06,26.97,64.62,8.41,5
09,00000,0000000,,2021,120,B,*,*,3,1,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,121,B,131,131,3,1,68,12,2408.8,25.00,16.67,41.67,25.00,33.33,12,*,*,*,*,*,*,*,*,*,*,*,*,5
09,00000,0000000,,2021,128,B,853,848,3,1,288,98,2380.2,11.22,16.33,27.55,28.57,43.88,98,11.22,54.08,34.69,5.10,52.04,42.86,2.04,80.61,17.35,7.14,70.41,22.45,5
09,00000,0000000,,2021,142,B,270,269,3,1,200,50,2392.0,12.00,18.00,30.00,26.00,44.00,50,10.00,56.00,34.00,8.00,48.00,44.00,6.00,70.00,24.00,6.00,78.00,16.00,5
09,00000,0000000,,2021,144,B,357,355,3,1,130,44,2405.8,15.91,22.73,38.64,29.55,31.82,44,18.18,63.64,18.18,13.64,50.00,36.36,4.55,84.09,11.36,11.36,65.91,22.73,5
09,00000,0000000,,2021,160,B,276,275,3,1,205,52,2390.3,11.54,17.31,28.85,26.92,44.23,52,9.62,55.77,34.62,7.69,48.08,44.23,5.77,71.15,23.08,5.77,76.92,17.31,5
09,00000,0000000,,2021,170,B,560,559,3,1,262,68,2402.9,16.18,17.65,33.82,27.94,38.24,68,16.18,54.41,29.41,8.82,52.94,38.24,4.41,77.94,17.65,10.29,73.53,16.18,5
