County Code,District Code,School Code,Filler,Test Year,Student Group ID,Test Type,Total Tested at Reporting Level,Total Tested with Scores at Reporting Level,Grade,Test ID,Students Enrolled,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores,Area 1 Percentage Above Standard,Area 1 Percentage Near Standard,Area 1 Percentage Below Standard,Area 2 Percentage Above Standard,Area 2 Percentage Near Standard,Area 2 Percentage Below Standard,Area 3 Percentage Above Standard,Area 3 Percentage Near Standard,Area 3 Percentage Below Standard,Area 4 Percentage Above Standard,Area 4 Percentage Near Standard,Area 4 Percentage Below Standard,Type ID
09,61903,0000000,,2022,1,B,1772,1771,3,1,242,235,2414.8,23.40,22.55,45.96,22.98,31.06,235,19.57,55.74,24.68,16.60,48.94,34.47,16.60,71.06,12.34,15.32,60.00,24.68,6
09,61903,0000000,,2022,3,B,905,905,3,1,122,118,2415.4,23.73,25.42,49.15,22.03,28.81,118,19.49,55.93,24.58,16.95,47.46,35.59,16.95,72.03,11.02,18.64,56.78,24.58,6
09,61903,0000000,,2022,4,B,863,862,3,1,120,117,2414.2,23.08,19.66,42.74,23.93,33.33,117,19.66,55.56,24.79,16.24,50.43,33.33,16.24,70.09,13.68,11.97,63.25,24.79,6
09,61903,0000000,,2022,6,B,1367,1366,3,1,184,179,2443.0,30.17,28.49,58.66,23.46,17.88,179,25.14,60.89,13.97,20.67,55.87,23.46,20.67,72.63,6.70,19.55,65.36,15.08,6
09,61903,0000000,,2022,7,B,56,56,3,1,13,13,2408.9,23.08,30.77,53.85,15.38,30.77,13,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,8,B,248,248,3,1,13,13,2463.2,46.15,30.77,76.92,7.69,15.38,13,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,29,B,1772,1771,3,1,242,235,2414.8,23.40,22.55,45.96,22.98,31.06,235,19.57,55.74,24.68,16.60,48.94,34.47,16.60,71.06,12.34,15.32,60.00,24.68,6
09,61903,0000000,,2022,31,B,549,548,3,1,68,66,2367.0,12.12,15.15,27.27,16.67,56.06,66,10.61,51.52,37.88,12.12,40.91,46.97,6.06,68.18,25.76,4.55,53.03,42.42,6
09,61903,0000000,,2022,50,B,*,*,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,51,B,1769,1768,3,1,241,234,2414.9,23.50,22.65,46.15,22.65,31.20,234,19.66,55.56,24.79,16.67,48.72,34.62,16.67,71.37,11.97,15.38,59.83,24.79,6
09,61903,0000000,,2022,52,B,13,13,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,53,B,1759,1758,3,1,240,233,2415.6,23.61,22.75,46.35,23.18,30.47,233,19.74,55.36,24.89,16.74,49.36,33.91,16.74,71.24,12.02,15.45,59.66,24.89,6
09,61903,0000000,,2022,74,B,10,10,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,76,B,20,20,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,77,B,46,46,3,1,4,4,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,78,B,833,832,3,1,103,100,2369.4,14.00,15.00,29.00,20.00,51.00,100,10.00,51.00,39.00,10.00,38.00,52.00,11.00,67.00,22.00,9.00,50.00,41.00,6
09,61903,0000000,,2022,80,B,789,789,3,1,116,112,2450.9,32.14,29.46,61.61,22.32,16.07,112,27.68,57.14,15.18,20.54,58.04,21.43,23.21,73.21,3.57,20.54,66.96,12.50,6
09,61903,0000000,,2022,90,B,116,115,3,1,14,13,2333.5,7.69,7.69,15.38,7.69,76.92,13,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,91,B,518,518,3,1,54,54,2374.6,12.96,14.81,27.78,24.07,48.15,54,9.26,50.00,40.74,12.96,37.04,50.00,12.96,68.52,18.52,3.70,57.41,38.89,6
09,61903,0000000,,2022,92,B,269,269,3,1,43,41,2409.4,19.51,24.39,43.90,24.39,31.71,41,21.95,60.98,17.07,19.51,46.34,34.15,7.32,78.05,14.63,9.76,68.29,21.95,6
09,61903,0000000,,2022,93,B,429,429,3,1,66,65,2443.3,33.85,23.08,56.92,24.62,18.46,65,23.08,58.46,18.46,16.92,60.00,23.08,23.08,67.69,9.23,32.31,50.77,16.92,6
09,61903,0000000,,2022,94,B,269,269,3,1,42,40,2476.7,40.00,35.00,75.00,20.00,5.00,40,40.00,55.00,5.00,27.50,62.50,10.00,27.50,67.50,5.00,15.00,82.50,2.50,6
09,61903,0000000,,2022,99,B,1550,1550,3,1,214,210,2423.5,25.24,23.81,49.05,23.81,27.14,210,21.43,55.71,22.86,17.62,51.90,30.48,18.10,71.90,10.00,15.71,61.90,22.38,6
09,61903,0000000,,2022,111,B,1223,1223,3,1,174,169,2433.5,27.81,25.44,53.25,25.44,21.30,169,23.08,57.40,19.53,18.34,52.07,29.59,20.71,72.19,7.10,19.53,62.72,17.75,6
09,61903,0000000,,2022,120,B,*,*,3,1,*,0,,,,,,,0,,,,,,,,,,,,,6
09,61903,0000000,,2022,121,B,171,171,3,1,23,22,2375.3,4.55,22.73,27.27,27.27,45.45,22,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,128,B,222,221,3,1,28,25,2342.0,8.00,12.00,20.00,16.00,64.00,25,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,142,B,404,404,3,1,56,56,2324.7,1.79,3.57,5.36,21.43,73.21,56,1.79,39.29,58.93,3.57,26.79,69.64,3.57,66.07,30.36,1.79,42.86,55.36,6
09,61903,0000000,,2022,144,B,66,66,3,1,16,16,2429.0,12.50,25.00,37.50,43.75,18.75,16,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,160,B,405,405,3,1,58,56,2324.7,1.79,3.57,5.36,21.43,73.21,56,1.79,39.29,58.93,3.57,26.79,69.64,3.57,66.07,30.36,1.79,42.86,55.36,6
09,61903,0000000,,2022,170,B,653,653,3,1,71,69,2350.8,10.14,8.70,18.84,18.84,62.32,69,7.25,44.93,47.83,13.04,23.19,63.77,7.25,66.67,26.09,1.45,53.62,44.93,6
09,61903,0000000,,2022,180,B,1063,1062,3,1,158,153,2444.2,29.41,28.10,57.52,25.49,16.99,153,24.84,61.44,13.73,18.95,58.82,22.22,19.61,74.51,5.88,21.57,63.40,15.03,6
09,61903,0000000,,2022,200,B,7,7,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,203,B,14,14,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,204,B,371,370,3,1,44,43,2343.0,6.98,9.30,16.28,16.28,67.44,43,6.98,46.51,46.51,4.65,37.21,58.14,6.98,60.47,32.56,0.00,48.84,51.16,6
09,61903,0000000,,2022,206,B,138,138,3,1,17,16,2399.5,12.50,31.25,43.75,18.75,37.50,16,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,207,B,14,14,3,1,4,4,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,222,B,18,18,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,223,B,32,32,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,224,B,462,462,3,1,59,57,2389.4,19.30,19.30,38.60,22.81,38.60,57,12.28,54.39,33.33,14.04,38.60,47.37,14.04,71.93,14.04,15.79,50.88,33.33,6
09,61903,0000000,,2022,226,B,651,651,3,1,99,96,2459.5,35.42,29.17,64.58,22.92,12.50,96,30.21,56.25,13.54,20.83,60.42,18.75,26.04,70.83,3.13,22.92,67.71,9.38,6
09,61903,0000000,,2022,227,B,52,52,3,1,12,12,2433.5,8.33,25.00,33.33,58.33,8.33,12,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,241,B,1772,1771,3,1,242,235,2414.8,23.40,22.55,45.96,22.98,31.06,235,19.57,55.74,24.68,16.60,48.94,34.47,16.60,71.06,12.34,15.32,60.00,24.68,6
09,61903,0000000,,2022,1,B,1772,1771,4,1,237,228,2465.1,21.93,28.07,50.00,22.81,27.19,228,18.42,63.60,17.98,14.98,64.32,20.70,10.96,71.05,17.98,17.11,67.54,15.35,6
09,61903,0000000,,2022,3,B,905,905,4,1,128,124,2462.9,20.97,30.65,51.61,19.35,29.03,124,17.74,67.74,14.52,10.57,69.92,19.51,12.90,75.81,11.29,17.74,64.52,17.74,6
09,61903,0000000,,2022,4,B,863,862,4,1,109,104,2467.6,23.08,25.00,48.08,26.92,25.00,104,19.23,58.65,22.12,20.19,57.69,22.12,8.65,65.38,25.96,16.35,71.15,12.50,6
09,61903,0000000,,2022,6,B,1367,1366,4,1,179,173,2486.4,27.17,31.21,58.38,21.97,19.65,173,21.97,64.74,13.29,18.60,65.70,15.70,12.72,73.99,13.29,21.39,70.52,8.09,6
09,61903,0000000,,2022,7,B,56,56,4,1,10,10,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,8,B,248,248,4,1,8,8,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,29,B,1772,1771,4,1,237,228,2465.1,21.93,28.07,50.00,22.81,27.19,228,18.42,63.60,17.98,14.98,64.32,20.70,10.96,71.05,17.98,17.11,67.54,15.35,6
09,61903,0000000,,2022,31,B,549,548,4,1,80,78,2429.7,10.26,23.08,33.33,26.92,39.74,78,10.26,65.38,24.36,8.97,60.26,30.77,6.41,70.51,23.08,10.26,62.82,26.92,6
09,61903,0000000,,2022,51,B,1769,1768,4,1,237,228,2465.1,21.93,28.07,50.00,22.81,27.19,228,18.42,63.60,17.98,14.98,64.32,20.70,10.96,71.05,17.98,17.11,67.54,15.35,6
09,61903,0000000,,2022,52,B,13,13,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,53,B,1759,1758,4,1,236,227,2466.1,22.03,28.19,50.22,22.91,26.87,227,18.50,63.88,17.62,15.04,64.60,20.35,11.01,71.37,17.62,17.18,67.84,14.98,6
09,61903,0000000,,2022,74,B,10,10,4,1,*,0,,,,,,,0,,,,,,,,,,,,,6
09,61903,0000000,,2022,75,B,7,7,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,76,B,20,20,4,1,8,7,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,77,B,46,46,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,78,B,833,832,4,1,100,96,2422.0,12.50,14.58,27.08,29.17,43.75,96,12.50,58.33,29.17,8.42,60.00,31.58,8.33,62.50,29.17,4.17,69.79,26.04,6
09,61903,0000000,,2022,80,B,789,789,4,1,116,113,2498.9,29.20,38.94,68.14,19.47,12.39,113,24.78,64.60,10.62,18.58,70.80,10.62,12.39,77.88,9.73,27.43,66.37,6.19,6
09,61903,0000000,,2022,90,B,116,115,4,1,13,13,2377.2,0.00,7.69,7.69,30.77,61.54,13,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,91,B,518,518,4,1,48,46,2437.5,13.04,26.09,39.13,21.74,39.13,46,10.87,67.39,21.74,8.70,65.22,26.09,2.17,73.91,23.91,13.04,54.35,32.61,6
09,61903,0000000,,2022,92,B,269,269,4,1,48,46,2457.2,6.52,36.96,43.48,32.61,23.91,46,13.04,73.91,13.04,10.87,71.74,17.39,2.17,76.09,21.74,8.70,86.96,4.35,6
09,61903,0000000,,2022,93,B,429,429,4,1,56,53,2504.4,35.85,26.42,62.26,24.53,13.21,53,28.30,54.72,16.98,26.42,56.60,16.98,15.09,75.47,9.43,26.42,66.04,7.55,6
09,61903,0000000,,2022,94,B,269,269,4,1,47,46,2510.5,39.13,39.13,78.26,13.04,8.70,46,30.43,65.22,4.35,17.39,78.26,4.35,19.57,73.91,6.52,30.43,65.22,4.35,6
09,61903,0000000,,2022,99,B,1550,1550,4,1,198,192,2482.8,24.48,31.25,55.73,25.00,19.27,192,21.88,66.15,11.98,17.28,67.02,15.71,11.46,75.52,13.02,19.27,70.83,9.90,6
09,61903,0000000,,2022,111,B,1223,1223,4,1,157,150,2483.4,28.00,30.67,58.67,20.67,20.67,150,22.67,62.67,14.67,18.12,66.44,15.44,13.33,71.33,15.33,20.67,70.00,9.33,6
09,61903,0000000,,2022,120,B,*,*,4,1,*,0,,,,,,,0,,,,,,,,,,,,,6
09,61903,0000000,,2022,121,B,171,171,4,1,25,24,2406.5,16.67,8.33,25.00,16.67,58.33,24,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,128,B,222,221,4,1,39,36,2370.5,8.33,11.11,19.44,11.11,69.44,36,0.00,50.00,50.00,2.78,50.00,47.22,8.33,47.22,44.44,5.56,50.00,44.44,6
09,61903,0000000,,2022,142,B,404,404,4,1,57,55,2397.9,5.45,18.18,23.64,25.45,50.91,55,7.27,60.00,32.73,3.64,60.00,36.36,5.45,61.82,32.73,3.64,58.18,38.18,6
09,61903,0000000,,2022,144,B,66,66,4,1,8,8,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,160,B,405,405,4,1,58,55,2397.9,5.45,18.18,23.64,25.45,50.91,55,7.27,60.00,32.73,3.64,60.00,36.36,5.45,61.82,32.73,3.64,58.18,38.18,6
09,61903,0000000,,2022,170,B,653,653,4,1,66,63,2411.7,9.52,19.05,28.57,25.40,46.03,63,9.52,61.90,28.57,4.76,61.90,33.33,6.35,63.49,30.16,6.35,60.32,33.33,6
09,61903,0000000,,2022,180,B,1063,1062,4,1,161,155,2485.3,27.10,32.26,59.35,20.00,20.65,155,21.94,63.23,14.84,18.83,64.94,16.23,12.26,73.55,14.19,21.29,69.68,9.03,6
09,61903,0000000,,2022,201,B,*,*,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,202,B,*,*,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,203,B,14,14,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,204,B,371,370,4,1,49,48,2417.5,10.42,12.50,22.92,31.25,45.83,48,12.50,58.33,29.17,8.33,54.17,37.50,10.42,62.50,27.08,6.25,60.42,33.33,6
09,61903,0000000,,2022,206,B,138,138,4,1,24,24,2448.2,8.33,45.83,54.17,20.83,25.00,24,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,207,B,14,14,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,220,B,*,*,4,1,*,0,,,,,,,0,,,,,,,,,,,,,6
09,61903,0000000,,2022,222,B,18,18,4,1,5,5,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,223,B,32,32,4,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,224,B,462,462,4,1,51,48,2426.6,14.58,16.67,31.25,27.08,41.67,48,12.50,58.33,29.17,8.51,65.96,25.53,6.25,62.50,31.25,2.08,79.17,18.75,6
09,61903,0000000,,2022,226,B,651,651,4,1,92,89,2512.6,34.83,37.08,71.91,19.10,8.99,89,29.21,62.92,7.87,21.35,68.54,10.11,15.73,76.40,7.87,30.34,66.29,3.37,6
09,61903,0000000,,2022,227,B,52,52,4,1,6,6,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*,6
09,61903,0000000,,2022,241,B,1772,1771,4,1,237,228,2465.1,21.93,28.07,50.00,22.81,27.19,228,18.42,63.60,17.98,14.98,64.32,20.70,10.96,71.05,17.98,17.11,67.54,15.35,6
09,61903,0000000,,2022,1,B,1772,1771,5,1,256,247,2493.0,20.65,27.53,48.18,20.65,31.17,247,18.29,63.41,18.29,15.45,58.13,26.42,12.96,72.47,14.57,15.38,61.13,23.48,6
09,61903,0000000,,2022,3,B,905,905,5,1,124,119,2498.7,21.85,30.25,52.10,20.17,27.73,119,17.65,63.87,18.49,15.97,57.98,26.05,16.81,72.27,10.92,18.49,61.34,20.17,6
